"ID","Date","Cases","Cases_New","Type","Age","Sex","Source"
"ES",2020-01-22,0,0,"Active","Total","Total","JHU"
"ES",2020-01-22,0,0,"Confirmed","Total","Total","JHU"
"ES",2020-01-22,0,0,"Deaths","Total","Total","JHU"
"ES",2020-01-22,0,0,"Recovered","Total","Total","JHU"
"ES",2020-01-23,0,0,"Active","Total","Total","JHU"
"ES",2020-01-23,0,0,"Confirmed","Total","Total","JHU"
"ES",2020-01-23,0,0,"Deaths","Total","Total","JHU"
"ES",2020-01-23,0,0,"Recovered","Total","Total","JHU"
"ES",2020-01-24,0,0,"Active","Total","Total","JHU"
"ES",2020-01-24,0,0,"Confirmed","Total","Total","JHU"
"ES",2020-01-24,0,0,"Deaths","Total","Total","JHU"
"ES",2020-01-24,0,0,"Recovered","Total","Total","JHU"
"ES",2020-01-25,0,0,"Active","Total","Total","JHU"
"ES",2020-01-25,0,0,"Confirmed","Total","Total","JHU"
"ES",2020-01-25,0,0,"Deaths","Total","Total","JHU"
"ES",2020-01-25,0,0,"Recovered","Total","Total","JHU"
"ES",2020-01-26,0,0,"Active","Total","Total","JHU"
"ES",2020-01-26,0,0,"Confirmed","Total","Total","JHU"
"ES",2020-01-26,0,0,"Deaths","Total","Total","JHU"
"ES",2020-01-26,0,0,"Recovered","Total","Total","JHU"
"ES",2020-01-27,0,0,"Active","Total","Total","JHU"
"ES",2020-01-27,0,0,"Confirmed","Total","Total","JHU"
"ES",2020-01-27,0,0,"Deaths","Total","Total","JHU"
"ES",2020-01-27,0,0,"Recovered","Total","Total","JHU"
"ES",2020-01-28,0,0,"Active","Total","Total","JHU"
"ES",2020-01-28,0,0,"Confirmed","Total","Total","JHU"
"ES",2020-01-28,0,0,"Deaths","Total","Total","JHU"
"ES",2020-01-28,0,0,"Recovered","Total","Total","JHU"
"ES",2020-01-29,0,0,"Active","Total","Total","JHU"
"ES",2020-01-29,0,0,"Confirmed","Total","Total","JHU"
"ES",2020-01-29,0,0,"Deaths","Total","Total","JHU"
"ES",2020-01-29,0,0,"Recovered","Total","Total","JHU"
"ES",2020-01-30,0,0,"Active","Total","Total","JHU"
"ES",2020-01-30,0,0,"Confirmed","Total","Total","JHU"
"ES",2020-01-30,0,0,"Deaths","Total","Total","JHU"
"ES",2020-01-30,0,0,"Recovered","Total","Total","JHU"
"ES",2020-01-31,0,0,"Active","Total","Total","JHU"
"ES",2020-01-31,0,0,"Confirmed","Total","Total","JHU"
"ES",2020-01-31,0,0,"Deaths","Total","Total","JHU"
"ES",2020-01-31,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-01,1,1,"Active","Total","Total","JHU"
"ES",2020-02-01,1,1,"Confirmed","Total","Total","JHU"
"ES",2020-02-01,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-01,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-02,1,0,"Active","Total","Total","JHU"
"ES",2020-02-02,1,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-02,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-02,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-03,1,0,"Active","Total","Total","JHU"
"ES",2020-02-03,1,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-03,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-03,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-04,1,0,"Active","Total","Total","JHU"
"ES",2020-02-04,1,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-04,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-04,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-05,1,0,"Active","Total","Total","JHU"
"ES",2020-02-05,1,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-05,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-05,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-06,1,0,"Active","Total","Total","JHU"
"ES",2020-02-06,1,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-06,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-06,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-07,1,0,"Active","Total","Total","JHU"
"ES",2020-02-07,1,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-07,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-07,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-08,1,0,"Active","Total","Total","JHU"
"ES",2020-02-08,1,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-08,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-08,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-09,2,1,"Active","Total","Total","JHU"
"ES",2020-02-09,2,1,"Confirmed","Total","Total","JHU"
"ES",2020-02-09,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-09,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-10,2,0,"Active","Total","Total","JHU"
"ES",2020-02-10,2,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-10,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-10,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-11,2,0,"Active","Total","Total","JHU"
"ES",2020-02-11,2,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-11,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-11,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-12,2,0,"Active","Total","Total","JHU"
"ES",2020-02-12,2,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-12,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-12,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-13,2,0,"Active","Total","Total","JHU"
"ES",2020-02-13,2,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-13,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-13,0,0,"Recovered","Total","Total","JHU"
"ES",2020-02-14,2,0,"Active","Total","Total","JHU"
"ES",2020-02-14,2,0,"Confirmed","Total","Total","JHU"
"ES",2020-02-14,0,0,"Deaths","Total","Total","JHU"
"ES",2020-02-14,0,0,"Recovered","Total","Total","JHU"
