"","ID","Date","Cases","Cases_New","Type","Age","Sex","Source"
"3426781","IT",2020-01-22,0,0,"Active","Total","Total","JHU"
"3426782","IT",2020-01-22,0,0,"Confirmed","Total","Total","JHU"
"3426783","IT",2020-01-22,0,0,"Deaths","Total","Total","JHU"
"3426784","IT",2020-01-22,0,0,"Recovered","Total","Total","JHU"
"3426785","IT",2020-01-23,0,0,"Active","Total","Total","JHU"
"3426786","IT",2020-01-23,0,0,"Confirmed","Total","Total","JHU"
"3426787","IT",2020-01-23,0,0,"Deaths","Total","Total","JHU"
"3426788","IT",2020-01-23,0,0,"Recovered","Total","Total","JHU"
"3426789","IT",2020-01-24,0,0,"Active","Total","Total","JHU"
"3426790","IT",2020-01-24,0,0,"Confirmed","Total","Total","JHU"
"3426791","IT",2020-01-24,0,0,"Deaths","Total","Total","JHU"
"3426792","IT",2020-01-24,0,0,"Recovered","Total","Total","JHU"
"3426793","IT",2020-01-25,0,0,"Active","Total","Total","JHU"
"3426794","IT",2020-01-25,0,0,"Confirmed","Total","Total","JHU"
"3426795","IT",2020-01-25,0,0,"Deaths","Total","Total","JHU"
"3426796","IT",2020-01-25,0,0,"Recovered","Total","Total","JHU"
"3426797","IT",2020-01-26,0,0,"Active","Total","Total","JHU"
"3426798","IT",2020-01-26,0,0,"Confirmed","Total","Total","JHU"
"3426799","IT",2020-01-26,0,0,"Deaths","Total","Total","JHU"
"3426800","IT",2020-01-26,0,0,"Recovered","Total","Total","JHU"
"3426801","IT",2020-01-27,0,0,"Active","Total","Total","JHU"
"3426802","IT",2020-01-27,0,0,"Confirmed","Total","Total","JHU"
"3426803","IT",2020-01-27,0,0,"Deaths","Total","Total","JHU"
"3426804","IT",2020-01-27,0,0,"Recovered","Total","Total","JHU"
"3426805","IT",2020-01-28,0,0,"Active","Total","Total","JHU"
"3426806","IT",2020-01-28,0,0,"Confirmed","Total","Total","JHU"
"3426807","IT",2020-01-28,0,0,"Deaths","Total","Total","JHU"
"3426808","IT",2020-01-28,0,0,"Recovered","Total","Total","JHU"
"3426809","IT",2020-01-29,0,0,"Active","Total","Total","JHU"
"3426810","IT",2020-01-29,0,0,"Confirmed","Total","Total","JHU"
"3426811","IT",2020-01-29,0,0,"Deaths","Total","Total","JHU"
"3426812","IT",2020-01-29,0,0,"Recovered","Total","Total","JHU"
